i,mean-1-MGVT,std-1-MGVT,mean-3-MGVT,std-3-MGVT,mean-1-T2VT,std-1-T2VT,mean-3-T2VT,std-3-T2VT
4400,-71.87428744682738,2.317389915229726,-71.9471517840134,2.4833395016532105,-70.1355338803032,2.769288367180404,-70.41434081247002,3.040662744250414
4600,-71.73424844097876,2.343383000871934,-71.98207823291962,2.51044077577529,-69.91997063704399,2.791870394051263,-70.25682294662681,3.063810184047617
4800,-71.59313384307343,2.3403618619300905,-71.82231115959522,2.507292747429035,-69.63987827346479,2.8130757466134133,-70.0358720315442,3.0720733531663362
5000,-71.47398014034,2.3599664415866792,-71.66186466108306,2.5083333422043967,-69.48891390258409,2.8451296609809495,-69.73181894722161,3.1281074940875078
5200,-71.36145773711867,2.413604039341395,-71.65537741791204,2.532885299573815,-69.0318896174802,2.9014732791166016,-69.60610916969965,3.1617549431927308
5400,-71.25314302408118,2.4513200920198814,-71.63983371552314,2.541061908261971,-68.629554755993,2.9512336618927475,-69.21544699321358,3.2151463534136204
5600,-71.13413923528366,2.4754835362801173,-71.47499664590437,2.534343117931635,-68.36476766561417,2.974702134245022,-69.00364012520944,3.2335830520660784
5800,-70.98302365647281,2.4897044937723263,-71.27634925666081,2.560280289154157,-68.03382924645135,3.00872461890047,-68.7088309607928,3.2591898155075416
6000,-70.77174222149688,2.5324988616960904,-70.93123713622772,2.57089513254356,-67.80995003313946,3.002306419853032,-68.47503433805034,3.292638090645761
6200,-70.52957633057065,2.576179507807285,-70.65769554781194,2.6002480399911847,-67.55366666937262,2.9981699969377007,-68.12221692946932,3.3303775851806554
6400,-70.34855985232738,2.5688754826990103,-70.46814267271928,2.605919201758218,-67.24297651259177,3.0299484645937276,-67.94267349073488,3.3626348831637056
6600,-70.11530159427079,2.600981958603942,-70.23188929665014,2.6315332605414414,-66.89179550312849,3.049045759818522,-67.63361080701097,3.420521894576121
6800,-69.99985859649624,2.6144551946867964,-70.11662545812224,2.6316361297510213,-66.57468268045979,3.0652033689620604,-67.3095762971095,3.466433622106429
7000,-69.72355703833226,2.6806874881684855,-69.81757892912924,2.6550999551689736,-66.19699713759876,3.0833372119644906,-66.96743713570409,3.4965434097943033
7200,-69.54045710935712,2.6731923296111026,-69.56381520003436,2.6798931028761563,-65.83080369892483,3.0906873059088933,-66.71263404750411,3.5013504768747263
7400,-69.30186292438134,2.6750235775113103,-69.44227856338867,2.6800484682271764,-65.59263531472166,3.095106577936762,-66.49244388713689,3.509251101763067
7600,-69.11944422914493,2.7185350667867336,-69.29187820407971,2.6895452700412195,-65.39054078578391,3.0940464476472647,-66.32738610953689,3.509297060586703
7800,-69.03927340763369,2.713981885246145,-69.06735842255777,2.6915939938060283,-65.12847431682941,3.0998042055356754,-66.11170204949256,3.5280569346117776
8000,-68.84944500849492,2.7230533665640695,-68.92131833167252,2.7025492303717553,-64.8870630970678,3.0949977549673666,-65.99517943133152,3.502175405842447
8200,-68.6639437998324,2.768003048855681,-68.7110782347278,2.7107494094295927,-64.55808523743708,3.132827631762549,-65.75010529763752,3.4870555932722076
8400,-68.49982611376753,2.7972806206765317,-68.49456944348464,2.709095670143066,-64.19821480490316,3.1510188202242286,-65.67235500065951,3.4781843116453635
8600,-68.48345043896438,2.7720031495581514,-68.27409832825279,2.7077648235428584,-63.959014978393,3.1863073111937776,-65.54922214082126,3.4885256658434427
8800,-68.21612688104491,2.798428254308687,-68.18044142378074,2.6605904718546016,-63.674673602850675,3.1925187146591343,-65.37726192778167,3.501895924367288
9000,-68.14908818678485,2.8181690062665035,-67.8143007959199,2.6878676058144726,-63.45250571082606,3.178533194295766,-65.19003394345037,3.492613685259605
9200,-68.02851673241106,2.8392216717255723,-67.57519278129456,2.721631295881542,-63.28977881553756,3.189296948285785,-64.9458575680331,3.5002328358112003
9400,-67.80851365340536,2.903045242290639,-67.24880974294814,2.754063205181245,-63.104025767423764,3.1749067183100528,-64.88135389416658,3.489055736841462
9600,-67.56115144660448,2.937932180363256,-66.97151505065574,2.797315899697098,-62.90917035605585,3.1824560556585397,-64.6214327474333,3.515628462000959
9800,-67.44830045585002,2.9287417031885656,-66.72429868269857,2.79046473021193,-62.681367665008075,3.188269429949155,-64.46219804473823,3.511800683148535
10000,-67.35005760890054,2.9503089982272575,-66.47498639280225,2.8020781838841873,-62.55261903908585,3.174793377607844,-64.32167978021,3.5179456544442913
10200,-67.21737604109097,2.9304231018692186,-66.39319537897066,2.813202273420604,-62.41057963104633,3.1583524014634143,-64.2397240085066,3.503818928258569
10400,-67.02037317773939,2.913189196846688,-66.28468028387468,2.7709540893186686,-62.32874634695779,3.1369714616583555,-64.04667332414664,3.5132971481261244
10600,-67.02708771626878,2.905241999238013,-66.16400246930303,2.7569454649150633,-62.12350018157638,3.128328413064661,-63.9197134689333,3.506980922876138
10800,-66.84329216156823,2.9137076855606585,-65.87432394092198,2.7562623520187874,-62.00919036054972,3.1216531700406533,-63.717989131231235,3.5226739762471313
11000,-66.66454097544872,2.9364804906343753,-65.66558611768582,2.764532340326055,-61.84044328469452,3.1159150203777077,-63.66908522969094,3.5151118173591795
11200,-66.39145648820204,2.981890852020993,-65.46334861636879,2.767250394989724,-61.50967227010995,3.1329767279140075,-63.50655937045793,3.5187372361349483
11400,-66.30528160341856,2.9839277162099385,-65.07599944191253,2.7836488243263484,-61.39187366838622,3.1124472581661826,-63.46913228486581,3.529055219191502
11600,-66.1854768907731,2.9671845310265734,-64.69102529373201,2.785282139101251,-61.202615674604814,3.106198099268062,-63.34968615177327,3.5412280307431803
11800,-66.00325981718282,2.9873009080784603,-64.53742114133046,2.787402019106785,-60.965276735880586,3.0665692505629565,-63.29208312281381,3.5418684856169413
12000,-65.87069788180982,3.004297225172646,-64.2550094235374,2.796743608919062,-60.89879593600591,3.055888229534119,-63.011881876208506,3.5707830380958394
12200,-65.80087693935246,2.9906025365634155,-63.92772219002514,2.8110863144038585,-60.74164448802055,3.0722515627882503,-62.742506697444085,3.583573091246744
12400,-65.6154484317361,2.987078963238024,-63.80108499844313,2.8071730076153796,-60.55302886678671,3.0763714885778284,-62.538817854849746,3.5923213550972894
12600,-65.50128453571484,2.992980658321422,-63.59094835667298,2.8577730886748047,-60.371776056071276,3.0614982798837316,-62.3530389124755,3.6000162354143783
12800,-65.43334575013095,3.0057948587242937,-63.34448003963683,2.8874326010413736,-60.27358706603311,3.057854101811013,-62.247462472945045,3.615459857640325
13000,-65.26366314151272,3.032603403090277,-63.15857130262472,2.892756857831195,-60.163419905264824,3.0446069439433363,-62.052396392032435,3.62747967106104
13200,-65.16854416658913,3.029661614184627,-63.02043010984225,2.8679957950817085,-59.89211038916739,3.061540816983492,-61.952820569012594,3.63149938217675
13400,-65.0138039180301,3.0275276146273677,-62.78896539330173,2.879613159470462,-59.85921726295377,3.028454841995306,-61.91805409744501,3.6274755594017813
13600,-64.94959983921858,3.024233474251753,-62.67581940332446,2.8880115668601634,-59.67226525556705,3.0321514877981715,-61.78101631668125,3.6164628084765673
13800,-64.82488048777121,3.0208132898232827,-62.64237130557931,2.8754610417670183,-59.45391815056505,3.051243664800484,-61.698253078069364,3.62116829807873
14000,-64.65474382154189,3.032573824230668,-62.465676458503985,2.888785811427981,-59.198722617879156,3.074494071200398,-61.546230194230496,3.630916663372028
14200,-64.51032009872173,3.0500587616732098,-62.18570750770763,2.927136764105832,-59.02335512325752,3.0760851133683853,-61.514583626694666,3.6150428103237116
14400,-64.31045219720801,3.065101807330797,-61.9774847956787,2.974241552937061,-58.91022566820035,3.075658135160693,-61.43802451731531,3.608968683782278
14600,-64.22430300893797,3.0662483456971565,-61.83224144102376,2.9678862124156256,-58.7950562659368,3.0746833953985218,-61.37545366304825,3.601564717262694
14800,-64.14157209290035,3.062045544705195,-61.69647981906444,2.980448846406675,-58.76380079879634,3.059992759402238,-61.25117163871574,3.603663324845582
15000,-64.0225074822259,3.061007446751314,-61.744687240305836,2.965410838643563,-58.79068220326791,3.0692971224114363,-61.19628096947621,3.5946555909229834
15200,-63.93432382617927,3.057750171478174,-61.646762644470954,2.9708608924728095,-58.61986107008242,3.0835730476894985,-61.18213255982998,3.592025548147212
15400,-63.87741380432645,3.0136013103899155,-61.57930206113871,2.9562701255516948,-58.48543012037228,3.088711311171972,-61.08357276003754,3.5951283961642955
15600,-63.784763091247584,2.967962067950723,-61.44010267126749,2.9666868151866943,-58.28651652634521,3.0927626910494337,-60.91222281067424,3.59757061217981
15800,-63.77519162487752,2.9707236378569104,-61.311548865578914,2.942534159829679,-58.34827725182349,3.0872109282124507,-60.850225189764885,3.588610184385617
16000,-63.5245540384107,2.9581046523073287,-61.27784164715319,2.9350041494232912,-58.24931605896525,3.0763392155246767,-60.78126956387528,3.5788556172682613
16200,-63.3162636368366,2.9748883599894618,-61.19779376912843,2.9314200708517686,-58.19745822673859,3.0834758714312405,-60.6636956381338,3.589786811645344
16400,-63.17069474399067,2.9655316188074936,-61.025562831680745,2.927305318426162,-58.12830299601182,3.093989620331451,-60.695526442361434,3.575423841256332
16600,-63.04074142696427,2.9474825382807492,-60.831197210269565,2.9317289473960617,-57.95317801885162,3.0640831882028867,-60.56341359068065,3.582383650742642
16800,-62.88372191050334,2.951166331257232,-60.842433546483235,2.940049160118064,-57.86673889946569,3.0526368684232064,-60.44583235115316,3.585252391152967
17000,-62.88769687292765,2.9529875577217197,-60.74917482563685,2.959025618179027,-57.790017247119316,3.039126295468092,-60.290673828393345,3.5974177942298224
17200,-62.79228803279444,2.947229908486697,-60.62135059218251,2.956443388216337,-57.63872053170578,3.0244707930783186,-60.16194689454746,3.6182410620005014
17400,-62.64692190055215,2.938255005281479,-60.62135823439753,2.936169618858667,-57.3845782575876,2.9986960612673808,-60.074714907827726,3.608328947298426
17600,-62.57449766488785,2.925876265803577,-60.61097994617222,2.928217952311952,-57.27686335399389,2.9890853989490367,-60.005057272307155,3.6079590770313774
17800,-62.403029830509006,2.930074145369496,-60.54300478204619,2.910380062794482,-57.09726234791569,2.9633618476770454,-59.90694818971779,3.601473296439034
18000,-62.27092214677414,2.904461902648726,-60.41830599620633,2.918110143819822,-57.07932286704559,2.944602385750858,-59.964555115866915,3.6076992926095133
18200,-62.198051823355165,2.852562197551194,-60.31049111875748,2.9014865213875414,-56.97396146339035,2.959897510072479,-59.81308518392136,3.6123885827795528
18400,-61.92676303488366,2.842646935143328,-60.266193274515416,2.858966192655869,-56.94602220317236,2.9692345246897704,-59.58084096398554,3.6365343803085337
