i,mean-1-MGVT,std-1-MGVT,mean-3-MGVT,std-3-MGVT,mean-1-T2VT,std-1-T2VT,mean-3-T2VT,std-3-T2VT
200,-84.09760543546041,2.17637536163586,-85.34157882806392,1.3488387958895496,-83.38628875440546,2.41154202061485,-83.8271000494563,2.3327376583959176
400,-83.10591186270659,2.036165909785971,-83.40348819592177,1.998215964622783,-83.2886827700904,1.9377876015532527,-83.41187950570156,1.8473981580214633
600,-83.1026160482698,1.790802452099083,-83.20484105673421,1.9830387515648988,-82.70111518238595,1.759724702997646,-82.67053240987843,1.913278975495771
800,-82.97475084449864,1.882619178907754,-83.54592737607929,1.7674835257379946,-83.01206448748671,1.4699491480655673,-82.3743818351741,1.7815206961367596
1000,-82.26861000919713,1.9099790655855695,-83.13056205911828,1.8238567482847288,-82.65754461331788,1.5729502163637086,-82.09768631716443,1.7637311584923876
1200,-82.01157480792203,1.81916980814171,-82.9542898755584,1.8431052922452065,-82.58131900715935,1.4479489821421525,-82.24267378589127,1.6243395136641248
1400,-81.97071555843915,1.7426100085686909,-82.99014212614193,1.7821886600495547,-82.53724521044973,1.4769941922417076,-82.4244703095567,1.5529715127942607
1600,-81.92032311425811,1.7096033004139841,-82.75856047423356,1.7977696829364918,-82.64435923079964,1.5071572047728616,-82.11820773302166,1.5846282643222096
1800,-81.9885386623401,1.7006652184752038,-82.77914463687884,1.7995265478732383,-82.43957186788438,1.6088391452296429,-82.13860557122139,1.553672089196845
2000,-81.94331580620435,1.6755074840496746,-82.65938688206359,1.8512715150286352,-82.4115052907647,1.5589915624637094,-82.08591966670093,1.5691287000429717
2200,-81.86803773404944,1.6981513675949358,-82.5783540251647,1.8783056304769497,-82.36543991468918,1.5913435765495114,-81.85178606441573,1.6304744097815762
2400,-81.95636586481658,1.6385983465763259,-82.62818677396208,1.8646376480662294,-82.32272637270134,1.5894038861177195,-81.84633906966985,1.6277765135570927
2600,-82.02438738255404,1.6312411124244064,-82.4933403012093,1.9232349313211565,-82.48711266162508,1.5206065409898395,-81.7413377008742,1.6408134492698148
2800,-82.05967755139675,1.622208079584163,-82.5669026599601,1.8883754325959856,-82.3983470241633,1.538304940108444,-81.6979208459811,1.6740638397687149
3000,-81.97265079681794,1.6487341454407944,-82.50620472246787,1.8974889744925054,-82.31660552842595,1.5186853882686198,-81.63429606241685,1.701352924617729
3200,-81.92669272926945,1.6722173947893262,-82.44564102404675,1.8741601888219277,-82.24866247464983,1.5185014359517464,-81.6063377981903,1.7444768833500828
3400,-81.8737286703485,1.689826799876791,-82.41524850467776,1.8822860042233618,-82.21562831697481,1.528577504729505,-81.58120820875003,1.743828756492455
3600,-81.82610753346789,1.6902240273729803,-82.47752922479867,1.8616298422457331,-82.1683377314537,1.5360788739470113,-81.45200772040839,1.7659950233989758
3800,-81.8170202166918,1.7030011339937607,-82.47698492588076,1.848774690402856,-82.02889351344115,1.565984896536639,-81.46263878218998,1.7653748476477333
4000,-81.80498325945312,1.7015786354445093,-82.43768898746455,1.8441412861123463,-82.0171125915603,1.5734301799365107,-81.36120497447861,1.7836805798725401
4200,-81.83299154111579,1.7110419604836213,-82.47272926453165,1.8213238424942588,-82.07654309798272,1.5564408082584456,-81.24022940625109,1.8124501681118057
4400,-81.81582515752748,1.7093650903718831,-82.45977136896319,1.7982055690247496,-82.07793832883758,1.5655240095044503,-81.14347700332897,1.8199657508409668
4600,-81.79236079404583,1.7097443366921614,-82.42085997284154,1.8065152418392725,-82.05014629774841,1.5593215425311227,-81.08075136921047,1.8369474693009902
4800,-81.72127830756402,1.7461749157551025,-82.4351289881423,1.801218688508963,-81.91063858629686,1.6024177944702949,-80.9555987990123,1.875009427961871
5000,-81.72643186257326,1.7523477356839197,-82.4210532122681,1.7967571036339347,-81.88596501901304,1.6093348412591335,-80.8662715223457,1.877496811238791
5200,-81.73365938271208,1.7587242451791987,-82.36819332910136,1.8119901344390157,-81.79083867049411,1.6322097146772652,-80.84809953576757,1.9000331876014571
5400,-81.59725453738339,1.7758228524181328,-82.23671455271098,1.842986107052823,-81.70663969714724,1.6644380461094765,-80.8931074979293,1.8894746988238034
5600,-81.60445406303522,1.7811063825994218,-82.22460772976319,1.8336483220214395,-81.6517045876519,1.68083565525389,-80.8447072674893,1.8928082388864365
5800,-81.55720988379284,1.80797515003477,-82.18789675069493,1.8298195066646492,-81.64495887507482,1.6890400317380703,-80.82899452492806,1.9048824082304856
6000,-81.59630466271459,1.7825377372036317,-81.99414321039097,1.8479119032877611,-81.5061582641711,1.7373217780023844,-80.762066609343,1.9080975785099448
6200,-81.61408480357632,1.77438776962146,-81.93665065240435,1.8626566111320577,-81.4380525550856,1.738538859157592,-80.7914775864964,1.9083407632462974
6400,-81.60690399803521,1.7678478735136829,-81.8492348988204,1.8956693699881297,-81.37677691200084,1.7676163155726592,-80.73518966902772,1.9290800941439668
6600,-81.60323221809003,1.7784886380941016,-81.75314348968008,1.9220751251168355,-81.2885451949055,1.790206468068824,-80.67907332649408,1.9415270863093161
6800,-81.59188811459717,1.7749516846545355,-81.76138311864523,1.9099918846755601,-81.21484375730503,1.809844911104221,-80.53428657344811,1.9644766231210422
7000,-81.56336949710244,1.799619715167068,-81.71147963658575,1.905285907618209,-81.08269750993894,1.8429170060171265,-80.46119285357206,1.9959151848162375
7200,-81.57057743915271,1.807477611805184,-81.65725746231901,1.8965707854667504,-80.9854951352008,1.8863647339731522,-80.39106281732454,2.0280199760290905
